task_id,when_ready,when_running,when_waiting_retrieval,when_retrieved,when_done,worker_committed,worker_slot,time_commit_start,time_commit_end,time_input_mgr,size_input_mgr,time_worker_start,time_worker_end,time_output_mgr,size_output_mgr,when_input_sent,when_output_received,cores_requested,gpus_requested,memory_requested(MB),disk_requested(MB),retrieved_status,done_status,done_code,category
34,1716494676.674755,1716497908.036681,1716497915.865096,1716497915.870164,1716497915.870223,worker-cb7c6c4c5130033fdb68942b826bc325,26,1716497908.036154,1716497908.036643,0.000489,4.291534423828125e-05,1716497908.036735,1716497915.864328,0.001456,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
35,1716494676.675762,1716497907.488115,1716497915.334415,1716497915.338679,1716497915.338736,worker-cb7c6c4c5130033fdb68942b826bc325,44,1716497907.48764,1716497907.488089,0.000449,4.291534423828125e-05,1716497907.488189,1716497915.333836,0.001268,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
36,1716494676.676769,1716497261.732107,1716497266.716424,1716497266.878483,1716497266.879025,worker-cb7c6c4c5130033fdb68942b826bc325,27,1716497261.731779,1716497261.732083,0.000304,4.291534423828125e-05,1716497261.733157,1716497266.351441,0.157666,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
37,1716494676.677666,1716497929.200231,1716497937.667551,1716497937.676486,1716497937.676558,worker-cb7c6c4c5130033fdb68942b826bc325,25,1716497929.199703,1716497929.200204,0.000501,4.291534423828125e-05,1716497929.200316,1716497937.666725,0.002162,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
38,1716494676.678797,1716497891.278239,1716497899.204348,1716497899.213669,1716497899.213724,worker-cb7c6c4c5130033fdb68942b826bc325,53,1716497891.277768,1716497891.278211,0.000443,4.291534423828125e-05,1716497891.278303,1716497899.20363,0.001469,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
39,1716494676.680151,1716498062.719198,1716498071.779997,1716498071.79763,1716498071.797678,worker-cb7c6c4c5130033fdb68942b826bc325,40,1716498062.718654,1716498062.719171,0.000517,4.291534423828125e-05,1716498062.72128,1716498071.778009,0.001947,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
40,1716494676.681335,1716494694.661102,1716494704.542037,1716494704.544879,1716494704.544955,worker-cb7c6c4c5130033fdb68942b826bc325,18,1716494694.660639,1716494694.661076,0.000437,4.291534423828125e-05,1716494694.661151,1716494704.541274,0.001414,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
41,1716494676.682281,1716497962.158669,1716497970.414245,1716497970.42279,1716497970.422864,worker-cb7c6c4c5130033fdb68942b826bc325,15,1716497962.15814,1716497962.15864,0.0005,4.291534423828125e-05,1716497962.158721,1716497970.413328,0.001774,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
42,1716494676.68317,1716498007.975454,1716498017.102061,1716498017.113927,1716498017.113978,worker-cb7c6c4c5130033fdb68942b826bc325,40,1716498007.974913,1716498007.975426,0.000513,4.291534423828125e-05,1716498007.975518,1716498017.090722,0.006125,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
43,1716494676.684045,1716497923.649669,1716497931.534322,1716497931.538993,1716497931.539071,worker-cb7c6c4c5130033fdb68942b826bc325,19,1716497923.649154,1716497923.649642,0.000488,4.291534423828125e-05,1716497923.649729,1716497931.533635,0.001886,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
44,1716494676.684966,1716497908.070091,1716497917.721132,1716497917.747904,1716497917.747966,worker-cb7c6c4c5130033fdb68942b826bc325,51,1716497908.069629,1716497908.070064,0.000435,4.291534423828125e-05,1716497908.07015,1716497917.720502,0.002862,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
45,1716494676.686306,1716498062.057779,1716498070.954872,1716498070.962234,1716498070.962294,worker-cb7c6c4c5130033fdb68942b826bc325,44,1716498062.05741,1716498062.057754,0.000344,4.291534423828125e-05,1716498062.058776,1716498070.927133,0.001745,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
