hostname,Condor_Version,Condor_Build_ID,cpu_frequency,cpu_model,CpuCacheSize,DetectedCpus,DetectedMemory,Disk,eth_link_speed,glibc_version,has_afs,has_avx,has_scratch365,has_singularity,has_sse4_1,has_sse4_2,has_ssse3,has_vast,HasFileTransfer,HasJICLocalConfig,HasJobDeferral,HasMPI,HasTDP,HasTransferInputRemaps,HasVM,JavaMFlops,JobPreemptions,JobRankPreemptions,KFlops,Mips,OpSysLongName,has_avx2
d12chas110.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,30720,24,128290,910671960,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1706.690796,0,0,1514764,23197,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d12chas379.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,15360,24,256707,1339609312,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1868.609619,0,0,1714531,26257,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d32cepyc156.crc.nd.edu,8.8.14,550418,unknown,,512,64,256875,876025732,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,3125.503174,0,0,5457789,30599,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d8civy054.crc.nd.edu,8.8.14,550418,2.60GHz,Intel(R) Xeon(R) CPU E5-2650 v2,20480,16,31845,451026760,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1726.660156,0,0,1679376,25063,Red Hat Enterprise Linux release 8.9 (Ootpa),
d12chas287.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,15360,24,256707,1810452964,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1873.853882,0,0,1752351,26203,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d12chas209.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,15360,24,256707,1372892704,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1856.559448,0,0,1727925,26222,Red Hat Enterprise Linux release 8.9 (Ootpa),true
qa-rtx6k-011.crc.nd.edu,8.8.14,550418,2.70GHz,Intel(R) Xeon(R) Gold 6226 CPU,19712,24,192572,400787792,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1980.363403,0,0,1837833,30809,Red Hat Enterprise Linux release 8.9 (Ootpa),true
disc01.crc.nd.edu,8.8.14,550418,2.40GHz,Intel(R) Xeon(R) CPU           E5620,12288,8,31998,1870892704,10000Mb/s,glibc-2.17-326.el7_9.x86_64,true,,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,844.224731,0,0,1751344,15973,Red Hat Enterprise Linux Server release 7.9 (Maipo),
d8civy009.crc.nd.edu,8.8.14,550418,2.60GHz,Intel(R) Xeon(R) CPU E5-2650 v2,20480,16,31845,424913193,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1750.964478,1,0,1695667,25242,Red Hat Enterprise Linux release 8.9 (Ootpa),
d12chas066.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,15360,24,63427,942999688,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1469.622559,0,0,1455984,19988,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d8civy040.crc.nd.edu,8.8.14,550418,2.60GHz,Intel(R) Xeon(R) CPU E5-2650 v2,20480,16,31845,442845736,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1751.550049,0,0,1657444,24865,Red Hat Enterprise Linux release 8.9 (Ootpa),
